CASENO,SEVERITY,ACCDATE,ACCTIME,NOVEH,NOINJ,NOKILLED,INNEAR,COMMNAME,UGRID,USTREET1,USTREET2,UBLOCK,ROADAUTH,CTRLSECT,ATKM,RM,SIDEOF,QTR,SEC,TWP,RGE,MER,OTHERLOC
1459102,INJURY,2003-04-29,951,2,1,0,IN,SASKATOON,SKL9-18,8TH ST,PRESTON AVE,,URBAN,,0,,,,,,,,
1437289,INJURY,2003-04-29,1600,2,1,0,NEAR,MELFORT,,,,,FIRST NATIONS,,0,,,,,,,,JAMES SMITH IR - 1.5MILES NORTH OF VILLAGE
1439278,INJURY,2003-04-30,1720,2,1,0,IN,SASKATOON,SKH9-53,BROADWAY AVE,MAIN ST,,URBAN,,0,,,,,,,,
1441553,INJURY,2003-04-30,1644,2,1,0,IN,SASKATOON,SKE10-3,DUDLEY ST,SPADINA CR,,URBAN,,0,,,,,,,,
1455781,INJURY,2003-05-01,1900,2,1,0,IN,BEAUVAL,,BOUVIER CR,SMITH AVE,,URBAN,,0,,,,,,,,
1456324,INJURY,2003-05-01,1300,2,1,0,IN,SASKATOON,SKF8-23,21ST ST,AVE C,,URBAN,,0,,,,,,,,
1455851,INJURY,2003-05-02,1125,2,1,0,IN,HUDSON BAY,,6TH AVE,ALBERT ST,,URBAN,,0,,,,,,,,
1330104,INJURY,2003-05-04,1350,2,1,0,IN,NORTH BATTLEFORD,NBF9,11TH AVE,108TH ST,,URBAN,,0,,,,,,,,
1458603,INJURY,2003-05-04,8,2,1,0,IN,SASKATOON,SKF6-3,29TH ST,AVE B,,URBAN,,0,,,,,,,,
1330103,INJURY,2003-05-05,940,2,1,0,IN,NORTH BATTLEFORD,NBE60,13TH AVE,102ND ST,,URBAN,,0,,,,,,,,
1448685,INJURY,2003-05-06,1620,2,1,0,IN,REGINA,RE6700,ALBERT ST,651-675,,URBAN,,0,,,,,,,,
1458857,INJURY,2003-05-06,2125,2,1,0,IN,SASKATOON,SKL2-45,REDBERRY RD,TOBIN CR E,,URBAN,,0,,,,,,,,
1406102,INJURY,2003-05-07,2239,2,1,0,IN,SASKATOON,SKB7-38,DIEFENBAKER DR,WOROBETZ PL,,URBAN,,0,,,,,,,,
1333355,INJURY,2003-05-08,1638,2,1,0,IN,REGINA,RE8200,ALEXANDRA ST,1800-1899,,URBAN,,0,,,,,,,,
1417873,INJURY,2003-05-08,1350,2,1,0,IN,MOOSE JAW,,9TH AVE NW,,400,URBAN,,0,,,,,,,,
1313873,INJURY,2003-05-09,1745,2,1,0,IN,REGINA,RE683510,4TH AVE,MINTO ST,,URBAN,,0,,,,,,,,
1334726,INJURY,2003-05-09,1330,2,1,0,IN,REGINA,RE677360,13TH AVE E,PARK ST,,URBAN,,0,,,,,,,,
1414619,INJURY,2003-05-10,1200,2,1,0,IN,MEADOW LAKE,,1ST AVE W,5TH ST W,,URBAN,,0,,,,,,,,
1459137,INJURY,2003-05-10,1320,2,1,0,IN,SASKATOON,SKL13-15,EASTVIEW 2700  S LEG,EASTVIEW 2700  - EASTVIEW 3100,,URBAN,,0,,,,,,,,
1343343,INJURY,2003-05-11,1405,2,1,0,IN,REGINA,RE714000,1ST AVE N,LEWVAN DR,,URBAN,,0,,,,,,,,
1348980,INJURY,2003-05-11,1220,2,1,0,IN,REGINA,RE55800,CANNON ST,1-40,,URBAN,,0,,,,,,,,
1459363,INJURY,2003-05-12,2006,2,1,0,IN,SASKATOON,SKJ9-1,8TH ST,CUMBERLAND AVE,,URBAN,,0,,,,,,,,
1457062,INJURY,2003-05-14,1908,2,1,0,IN,SASKATOON,SKA7-20,CENTENNIAL DR,LANGEVIN CR E LEG,,URBAN,,0,,,,,,,,
1332662,INJURY,2003-05-15,850,2,1,0,IN,REGINA,RE691810,BEDFORD CR,DEWDNEY AVE E,,URBAN,,0,,,,,,,,
1454806,INJURY,2003-05-15,850,2,1,0,IN,CABRI,,4TH ST N,,400,URBAN,,0,,,,,,,,
1417580,INJURY,2003-05-16,2125,2,1,0,IN,MOOSE JAW,,10TH AVE,,1000,URBAN,,0,,,,,,,,
1446227,INJURY,2003-05-17,1520,2,1,0,IN,SWIFT CURRENT,,6TH AVE NE,,800,URBAN,,0,,,,,,,,
1255805,INJURY,2003-05-20,1610,2,1,0,IN,REGINA,RE675970,11TH AVE,WINNIPEG ST,,URBAN,,0,,,,,,,,
1349331,INJURY,2003-05-20,1318,2,2,0,IN,REGINA,RE339200,ROSEN CR,1-99,,URBAN,,0,,,,,,,,
1442368,INJURY,2003-05-20,1545,2,1,0,IN,SASKATOON,SKM8-8,CARLETON DR,CAMBRIDGE - YALE,,URBAN,,0,,,,,,,,
1348218,INJURY,2003-05-22,1717,2,1,0,IN,REGINA,RE175400,GARNET ST,200-250,,URBAN,,0,,,,,,,,
1293095,INJURY,2003-05-23,1304,2,1,0,IN,PRINCE ALBERT,PAHWY202,#  2 HWY,RIVERSIDE DR OVERPASS N BOUND,,URBAN,,0,,,,,,,,
1450749,INJURY,2003-05-23,1655,2,1,0,IN,REGINA,RE219780,LEWVAN DR,1000-1299,,URBAN,,0,,,,,,,,
1256924,INJURY,2003-05-24,2020,2,1,0,IN,REGINA,RE309000,QUEBEC ST,2000-2099,,URBAN,,0,,,,,,,,
1457190,INJURY,2003-05-24,825,2,1,0,IN,SASKATOON,SKH7-3,24TH ST,SPADINA CR,,URBAN,,0,,,,,,,,
1462231,INJURY,2003-05-26,1200,2,1,0,IN,SASKATOON,SKH8-16,SASKATCHEWAN CR,14TH - 15TH,,URBAN,,0,,,,,,,,
1284437,INJURY,2003-05-27,1725,2,1,0,IN,ESTEVAN,,ALBERT ST,ALEXANDER AV,,URBAN,,0,,,,,,,,
1462407,INJURY,2003-05-27,1603,2,1,0,IN,SASKATOON,SKK9-3,8TH ST,GROSVENOR AVE,,URBAN,,0,,,,,,,,
1259449,INJURY,2003-05-29,1130,2,1,0,IN,MARTENSVILLE,,CENTENNIAL DR,,,URBAN,,0,,,,,,,,
1343461,INJURY,2003-05-30,1724,3,1,0,IN,REGINA,RE676200,12TH AVE,ALBERT ST,,URBAN,,0,,,,,,,,
1118875,INJURY,2003-06-01,1545,2,1,0,IN,CANORA,,1ST AVE E,MAIN ST,,URBAN,,0,,,,,,,,
1298516,INJURY,2003-06-01,1339,2,1,0,IN,PRINCE ALBERT,PA2W15,2ND AVE W,15TH ST,,URBAN,,0,,,,,,,,
1456603,INJURY,2003-06-01,1909,2,1,0,IN,SASKATOON,SKF5-20,37TH ST,AVE C,,URBAN,,0,,,,,,,,
1459384,INJURY,2003-06-03,1800,2,1,0,IN,SASKATOON,SKLANE,LANE / ALLEY UNSPECIFIED,,,URBAN,,0,,,,,,,,
1334888,INJURY,2003-06-04,1440,2,1,0,IN,REGINA,RE682570,3RD AVE,ALBERT ST,,URBAN,,0,,,,,,,,
1439296,INJURY,2003-06-13,1524,2,1,0,IN,SASKATOON,SKG8-8,4TH AVE,100 N 22ND - 23RD,,URBAN,,0,,,,,,,,
1461859,INJURY,2003-06-13,1640,2,1,0,IN,SASKATOON,SKE9-18,11TH ST,AVE K,,URBAN,,0,,,,,,,,
1269744,INJURY,2003-06-14,1645,2,1,0,IN,MOOSE JAW,,MAIN ST N,,800,URBAN,,0,,,,,,,,
1335182,INJURY,2003-06-14,1400,2,1,0,IN,REGINA,RE692980,BROAD ST,LAKESHORE DR,,URBAN,,0,,,,,,,,
1255794,INJURY,2003-06-16,1203,2,1,0,IN,REGINA,RE706990,PARLIAMENT AVE,PROCTER PL,,URBAN,,0,,,,,,,,
1255703,INJURY,2003-06-17,1950,2,1,0,IN,REGINA,RE690030,ARGYLE RD,GARNER AVE / MONTAGUE ST,,URBAN,,0,,,,,,,,
1342981,INJURY,2003-06-18,1706,2,1,0,IN,REGINA,RE677060,13TH AVE,LEWVAN DR,,URBAN,,0,,,,,,,,
1461834,INJURY,2003-06-18,750,2,1,0,IN,SASKATOON,SKH7-14,5TH AVE,25TH ST,,URBAN,,0,,,,,,,,
1462488,INJURY,2003-06-18,900,2,1,0,IN,SASKATOON,SKM11-8,ARLINGTON AVE,TAYLOR ST,,URBAN,,0,,,,,,,,
1267538,INJURY,2003-06-19,1515,2,1,0,IN,BEECHY,,1ST AVE N,1ST ST E,,URBAN,,0,,,,,,,,
1342886,INJURY,2003-06-20,2120,2,1,0,IN,REGINA,RE699600,ELPHINSTONE ST,SASKATCHEWAN,,URBAN,,0,,,,,,,,
1456615,INJURY,2003-06-20,1527,2,1,0,IN,SASKATOON,SKK1-19,LENORE DR,200  PRIMROSE - REDBERRY,,URBAN,,0,,,,,,,,
1459185,INJURY,2003-06-20,2016,2,1,0,IN,SASKATOON,SKH9-53,BROADWAY AVE,MAIN ST,,URBAN,,0,,,,,,,,
1461574,INJURY,2003-06-20,9999,2,1,0,IN,SASKATOON,SKF8-82,19TH ST,AVE C,,URBAN,,0,,,,,,,,
1462493,INJURY,2003-06-21,10,2,1,0,IN,SASKATOON,SKG9-11,8TH ST,VICTORIA AVE,,URBAN,,0,,,,,,,,
1334737,INJURY,2003-06-21,1630,2,1,0,IN,REGINA,RE3,BACK ALLEY,,,URBAN,,0,,,,,,,,
1012641,INJURY,2003-06-22,1615,2,1,0,IN,NORTH BATTLEFORD,NBE58,13TH AVE,100TH ST,,URBAN,,0,,,,,,,,
1343463,INJURY,2003-06-23,245,2,1,0,IN,REGINA,RE676550,12TH AVE,ROSE ST,,URBAN,,0,,,,,,,,
1448817,INJURY,2003-06-23,1518,2,1,0,IN,REGINA,RE706920,PARK ST,VICTORIA AVE E,,URBAN,,0,,,,,,,,
1461681,INJURY,2003-06-24,1430,2,1,0,IN,SASKATOON,SKF7-18,22ND ST,AVE C,,URBAN,,0,,,,,,,,
1459734,INJURY,2003-06-24,1210,2,1,0,IN,SASKATOON,SKLANE,LANE / ALLEY UNSPECIFIED,,,URBAN,,0,,,,,,,,
1348186,INJURY,2003-06-25,1420,2,1,0,IN,REGINA,RE4800,ALBERT ST,2500-2699,,URBAN,,0,,,,,,,,
1419773,INJURY,2003-06-25,1530,2,1,0,IN,SASKATOON,SKE8-46,20TH ST,AVE P,,URBAN,,0,,,,,,,,
1461650,INJURY,2003-06-27,1745,2,1,0,IN,SASKATOON,SKH10-79,7TH ST,ALBERT AVE,,URBAN,,0,,,,,,,,
1458867,INJURY,2003-06-30,1410,2,1,0,IN,SASKATOON,SKH7-32,5TH AVE,200 N 23RD - 24TH,,URBAN,,0,,,,,,,,
1344011,INJURY,2003-06-30,1900,2,1,0,IN,REGINA,RE3,BACK ALLEY,,,URBAN,,0,,,,,,,,
1217917,INJURY,2003-07-01,1516,2,1,0,IN,SASKATOON,SKJ10-46,CLARENCE AVE,TAYLOR ST,,URBAN,,0,,,,,,,,
1451062,INJURY,2003-07-01,1755,2,1,0,IN,REGINA,RE690480,ARGYLE ST,SHERWOOD DR,,URBAN,,0,,,,,,,,
1330570,INJURY,2003-07-02,1330,2,1,0,IN,NORTH BATTLEFORD,NBE10-35,101ST ST,1400,,URBAN,,0,,,,,,,,
1439294,INJURY,2003-07-02,1100,2,1,0,IN,SASKATOON,SKG8-46,1ST AVE,20TH ST,,URBAN,,0,,,,,,,,
1449823,INJURY,2003-07-03,1700,2,1,0,IN,REGINA,RE705130,MCCARTHY BLVD,SHERWOOD DR,,URBAN,,0,,,,,,,,
1459910,INJURY,2003-07-04,1542,2,1,0,IN,SASKATOON,SKG7-101,22ND ST,WALL ST,,URBAN,,0,,,,,,,,
1461751,INJURY,2003-07-05,2107,2,1,0,IN,SASKATOON,SKC7-33,22ND ST,CIRCLE - WITNEY,,URBAN,,0,,,,,,,,
1337658,INJURY,2003-07-06,1655,2,1,0,IN,NIPAWIN,,4TH ST N,TAMARAC PL,,URBAN,,0,,,,,,,,
1348169,INJURY,2003-07-08,9999,2,1,0,IN,REGINA,RE689160,ALBERT ST,REGINA AVE,,URBAN,,0,,,,,,,,
1334760,INJURY,2003-07-08,2217,2,1,0,IN,REGINA,RE3,BACK ALLEY,,,URBAN,,0,,,,,,,,
1436295,INJURY,2003-07-08,1345,2,1,0,IN,NORTH BATTLEFORD,NBLANE,BACK ALLEY_UNSPECIFIED,,,URBAN,,0,,,,,,,,
1347489,INJURY,2003-07-09,1620,2,1,0,IN,REGINA,RE701220,GORDON RD,RICHARDSON CR,,URBAN,,0,,,,,,,,
1418416,INJURY,2003-07-10,838,2,1,0,IN,MOOSE JAW,,1ST AVE NW,CARIBOU ST W,,URBAN,,0,,,,,,,,
1441983,INJURY,2003-07-10,1630,2,1,0,IN,SASKATOON,SKG8-69,19TH ST,AVE A,,URBAN,,0,,,,,,,,
924817,INJURY,2003-07-10,1655,2,1,0,NEAR,LOON LAKE,,,,,FEDERAL/PROVINCIAL,,0,,,,,,,,MAKWA LAKE RESORT - ACCESS RD FR MAKWA SAH. F. N.-RESORT
1346876,INJURY,2003-07-14,1430,2,1,0,IN,REGINA,RE680010,1ST AVE N,WASCANA ST,,URBAN,,0,,,,,,,,
1347943,INJURY,2003-07-14,930,2,1,0,IN,REGINA,RE3,BACK ALLEY,,,URBAN,,0,,,,,,,,
1142735,INJURY,2003-07-15,1400,2,1,0,IN,REGINA,RE155300,14TH AVE,900E-1199E,,URBAN,,0,,,,,,,,
1335056,INJURY,2003-07-18,937,2,1,0,IN,REGINA,RE3,BACK ALLEY,,,URBAN,,0,,,,,,,,
1313547,INJURY,2003-07-20,1237,2,1,0,IN,REGINA,RE675040,10TH AVE,ELPHINSTONE ST,,URBAN,,0,,,,,,,,
1439048,INJURY,2003-07-20,1849,2,1,0,IN,SASKATOON,SKD7-45,AVE V,100 N 22ND - 23RD,,URBAN,,0,,,,,,,,
1461007,INJURY,2003-07-20,58,2,1,0,IN,SASKATOON,SKD7-41,22ND ST,2200 W AVE V - AVE W,,URBAN,,0,,,,,,,,
1203502,INJURY,2003-07-20,2000,2,2,0,NEAR,YORKTON,,,,,HIGHWAY,0090900,10.6,,,,,,,,
1335079,INJURY,2003-07-23,1930,2,1,0,IN,REGINA,RE439350,VICTORIA AVE,600E-750E,,URBAN,,0,,,,,,,,
1343375,INJURY,2003-07-23,1720,2,1,0,IN,REGINA,RE706850,OTTAWA ST,VICTORIA AVE,,URBAN,,0,,,,,,,,
1345009,INJURY,2003-07-23,1630,2,1,0,IN,REGINA,RE676880,13TH AVE,BROAD ST,,URBAN,,0,,,,,,,,
1418324,INJURY,2003-07-25,2105,2,1,0,IN,MOOSE JAW,,CARIBOU ST E,,58,URBAN,,0,,,,,,,,
1463202,INJURY,2003-07-25,809,2,1,0,IN,SASKATOON,SKG5-14,33RD ST,QUEBEC AVE,,URBAN,,0,,,,,,,,
1448865,INJURY,2003-07-27,1845,2,1,0,IN,REGINA,RE695930,COOK CR,DALGLIESH DR,,URBAN,,0,,,,,,,,
1334777,INJURY,2003-07-30,1006,2,1,0,IN,REGINA,RE692920,BROAD ST,BROADWAY AVE,,URBAN,,0,,,,,,,,
1457462,INJURY,2003-07-30,1643,2,1,0,IN,SASKATOON,SKG8-30,3RD AVE,21ST ST,,URBAN,,0,,,,,,,,
1313549,INJURY,2003-07-31,1919,2,1,0,IN,REGINA,RE684290,5TH AVE,KING ST,,URBAN,,0,,,,,,,,
1431986,INJURY,2003-07-31,2150,2,1,0,IN,YORKTON,,BROADWAY ST W,-FRT OF MCDONALDS,,URBAN,,0,,,,,,,,
1456506,INJURY,2003-07-31,2126,2,1,0,IN,SASKATOON,SKN6-2,109TH ST,CENTRAL AVE,,URBAN,,0,,,,,,,,
1347947,INJURY,2003-08-01,1735,2,1,0,IN,REGINA,RE676950,13TH AVE,EDWARD ST,,URBAN,,0,,,,,,,,
1461330,INJURY,2003-08-01,1050,2,1,0,IN,SASKATOON,SKC5-40,BYERS CR S LEG,30  AVE W - BYERS W LEG,,URBAN,,0,,,,,,,,
1334778,INJURY,2003-08-02,2237,2,2,0,IN,REGINA,RE683250,4TH AVE,CAMERON ST,,URBAN,,0,,,,,,,,
1347770,INJURY,2003-08-07,2120,2,1,0,IN,REGINA,RE707260,LEWVAN DR,PASQUA ST / SHERWOOD DR,,URBAN,,0,,,,,,,,
1461391,INJURY,2003-08-07,1845,2,1,0,IN,SASKATOON,SKL9-18,8TH ST,PRESTON AVE,,URBAN,,0,,,,,,,,
1345776,INJURY,2003-08-08,1415,2,1,0,IN,REGINA,RE370400,7TH AVE,1800-1899,,URBAN,,0,,,,,,,,
1012647,INJURY,2003-08-11,2023,2,1,0,IN,NORTH BATTLEFORD,NBF1,11TH AVE,100TH ST,,URBAN,,0,,,,,,,,
1439724,INJURY,2003-08-11,1530,2,1,0,IN,MOOSE JAW,,GRANDVIEW ST,,1200,URBAN,,0,,,,,,,,
1349438,INJURY,2003-08-12,701,2,1,0,IN,REGINA,RE9999,NOT STATED,,,URBAN,,0,,,,,,,,
7026189,INJURY,2003-08-12,1700,2,1,0,IN,SASKATOON,SKJ8-45,COLLEGE DR,MUNROE AVE,,URBAN,,0,,,,,,,,
1332839,INJURY,2003-08-13,1515,2,1,0,IN,REGINA,RE697562,DEWDNEY AVE,RING RD NW RAMP,,URBAN,,0,,,,,,,,
1434308,INJURY,2003-08-13,1240,2,1,0,IN,LLOYDMINSTER,,44TH ST,-50TH AVE-49TH AVE,,URBAN,,0,,,,,,,,
1459113,INJURY,2003-08-14,800,2,1,0,IN,SASKATOON,SKG7-33,2ND AVE,26TH ST,,URBAN,,0,,,,,,,,
1085271,INJURY,2003-08-16,2340,2,1,0,IN,SASKATOON,SKN8-2,CENTRAL AVE,COLLEGE DR,,URBAN,,0,,,,,,,,
1298497,INJURY,2003-08-16,40,2,1,0,IN,PRINCE ALBERT,PA12W13,12TH AVE W,13TH ST,,URBAN,,0,,,,,,,,
1335005,INJURY,2003-08-18,1731,2,1,0,IN,REGINA,RE695680,COLLEGE AVE,OSLER ST,,URBAN,,0,,,,,,,,
1346706,INJURY,2003-08-19,2030,2,1,0,IN,REGINA,RE705150,MCCARTHY BLVD N,RINK AVE,,URBAN,,0,,,,,,,,
1346568,INJURY,2003-08-20,1640,2,1,0,IN,REGINA,RE678440,15TH AVE,SCARTH ST,,URBAN,,0,,,,,,,,
1346707,INJURY,2003-08-20,1300,2,1,0,IN,REGINA,RE455000,WILLOUGHBY CR,1-125,,URBAN,,0,,,,,,,,
1456911,INJURY,2003-08-20,2115,2,1,0,IN,SASKATOON,SKH5-30,10TH AVE,BALMORAL ST,,URBAN,,0,,,,,,,,
1463212,INJURY,2003-08-21,755,2,1,0,IN,SASKATOON,SKF7-33,22ND ST,AVE D,,URBAN,,0,,,,,,,,
1448468,INJURY,2003-08-22,731,2,1,0,IN,REGINA,RE708860,ARCOLA AVE / SASKATCHEWAN DR,WINNIPEG ST,,URBAN,,0,,,,,,,,
1441985,INJURY,2003-08-23,9999,2,1,0,IN,SASKATOON,SKF7-18,22ND ST,AVE C,,URBAN,,0,,,,,,,,
1418445,INJURY,2003-08-25,1858,2,1,0,IN,MOOSE JAW,,FAIRFORD ST E,MAIN ST N,,URBAN,,0,,,,,,,,
1293452,INJURY,2003-08-26,1645,2,1,0,IN,PRINCE ALBERT,PA3E22,3RD AVE E,22ND ST,,URBAN,,0,,,,,,,,
1346597,INJURY,2003-08-27,730,2,1,0,IN,REGINA,RE411300,13TH AVE,1700-1799,,URBAN,,0,,,,,,,,
1345816,INJURY,2003-08-29,1455,2,1,0,IN,REGINA,RE6700,ALBERT ST,651-675,,URBAN,,0,,,,,,,,
1449636,INJURY,2003-08-30,1540,2,1,0,IN,REGINA,RE682930,4TH AVE,ELPHINSTONE ST,,URBAN,,0,,,,,,,,
1106927,INJURY,2003-09-02,1210,2,1,0,IN,WILKIE,,4TH AVE,,400,URBAN,,0,,,,,,,,
1349441,INJURY,2003-09-02,1835,2,1,0,IN,REGINA,RE684430,5TH AVE,RETALLACK ST,,URBAN,,0,,,,,,,,
1462676,INJURY,2003-09-02,1155,2,1,0,IN,SASKATOON,SKJ7-1,UNIVERSITY OF SASKATCHEWAN,PRIVATE PROPETY,,URBAN,,0,,,,,,,,
1463064,INJURY,2003-09-02,1717,2,1,0,IN,SASKATOON,SKG7-21,24TH ST,WALL ST,,URBAN,,0,,,,,,,,
1293458,INJURY,2003-09-03,1550,2,1,0,IN,PRINCE ALBERT,PA1E23,1ST AVE E,23RD ST,,URBAN,,0,,,,,,,,
1342892,INJURY,2003-09-03,2010,2,1,0,IN,REGINA,RE689010,ALBERT ST,SASKATCHEWAN DR,,URBAN,,0,,,,,,,,
1456520,INJURY,2003-09-03,806,2,1,0,IN,SASKATOON,SKL8-2,COLLEGE DR,PRESTON AVE,,URBAN,,0,,,,,,,,
1456521,INJURY,2003-09-04,1916,2,1,0,IN,SASKATOON,SKLANE,LANE / ALLEY UNSPECIFIED,,,URBAN,,0,,,,,,,,
1255652,INJURY,2003-09-05,1930,2,1,0,IN,REGINA,RE689110,ALBERT ST,DEWDNEY AVE,,URBAN,,0,,,,,,,,
1345818,INJURY,2003-09-05,1530,2,1,0,IN,REGINA,RE686030,7TH AVE,ANGUS ST,,URBAN,,0,,,,,,,,
1443564,INJURY,2003-09-05,1400,2,1,0,IN,SASKATOON,SKO6-9,BERINI DR,400  KERR - ROGERS,,URBAN,,0,,,,,,,,
1436894,INJURY,2003-09-06,2200,2,1,0,IN,NORTH BATTLEFORD,NBE61,13TH AVE,103RD ST,,URBAN,,0,,,,,,,,
1444956,INJURY,2003-09-06,1330,2,1,0,IN,MANOR,,MAIN ST,,,URBAN,,0,,,,,,,,
1448657,INJURY,2003-09-06,1306,2,1,0,IN,REGINA,RE694640,CAVENDISH ST,DEWDNEY AVE E,,URBAN,,0,,,,,,,,
1452531,INJURY,2003-09-06,942,2,1,0,IN,SWIFT CURRENT,,10TH AVE NE,LORNE ST E,,URBAN,,0,,,,,,,,
1458809,INJURY,2003-09-06,1200,2,1,0,IN,SASKATOON,SKA6-45,JOHN A MACDONALD RD,MEIGHEN CR E,,URBAN,,0,,,,,,,,
1450593,INJURY,2003-09-06,2245,2,1,0,IN,REGINA,RE53500,CAMERON ST,1500-1599,,URBAN,,0,,,,,,,,
1317239,INJURY,2003-09-08,830,2,1,0,IN,REGINA,RE680880,23RD AVE,ALBERT ST,,URBAN,,0,,,,,,,,
1458810,INJURY,2003-09-09,1507,2,1,0,IN,SASKATOON,SKG5-16,QUEBEC AVE,1200 N 33RD - 34TH,,URBAN,,0,,,,,,,,
1293897,INJURY,2003-09-10,1649,2,1,0,IN,PRINCE ALBERT,PA1W17,1ST AVE W,17TH ST,,URBAN,,0,,,,,,,,
1342893,INJURY,2003-09-11,1053,2,1,0,IN,REGINA,RE5600,ALBERT ST,1700-1799,,URBAN,,0,,,,,,,,
1259474,INJURY,2003-09-12,1245,2,1,0,IN,WARMAN,,3RD AV N,,405,URBAN,,0,,,,,,,,
1457241,INJURY,2003-09-12,1832,2,1,0,IN,SASKATOON,SKK9-9,8TH ST,1500  CUMBERLAND - LOUISE,,URBAN,,0,,,,,,,,
1342894,INJURY,2003-09-13,1927,2,1,0,IN,REGINA,RE686020,7TH AVE,LEWVAN DR,,URBAN,,0,,,,,,,,
1349134,INJURY,2003-09-15,1730,2,1,0,IN,REGINA,RE689140,ALBERT ST,HILL AVE,,URBAN,,0,,,,,,,,
1458906,INJURY,2003-09-16,1545,2,1,0,IN,SASKATOON,SKLANE,LANE / ALLEY UNSPECIFIED,,,URBAN,,0,,,,,,,,
1463042,INJURY,2003-09-17,908,2,1,0,IN,SASKATOON,SKJ3-69,PEMBINA AVE,COLUMBIA - RED RIVER,,URBAN,,0,,,,,,,,
1449875,INJURY,2003-09-22,1800,2,1,0,IN,REGINA,RE693230,BROADWAY AVE,WALLACE ST,,URBAN,,0,,,,,,,,
1446347,INJURY,2003-09-23,1415,2,1,0,IN,SWIFT CURRENT,,1ST AVE NW,CHAPLIN ST W,,URBAN,,0,,,,,,,,
1335115,INJURY,2003-09-24,2030,2,1,0,IN,REGINA,RE689140,ALBERT ST,HILL AVE,,URBAN,,0,,,,,,,,
1346376,INJURY,2003-09-25,1530,2,1,0,IN,REGINA,RE703540,KRAMER BLVD,WASCANA PARKWAY,,URBAN,,0,,,,,,,,
1418423,INJURY,2003-10-02,730,2,1,0,IN,MOOSE JAW,,9TH AV NW,THATCHER DR W,,URBAN,,0,,,,,,,,
1463327,INJURY,2003-10-02,236,2,1,0,IN,SASKATOON,SKE5-7,33RD ST,1400  HOWELL - VALENS,,URBAN,,0,,,,,,,,
1335164,INJURY,2003-10-03,1253,2,1,0,IN,REGINA,RE678110,15TH AVE,BROAD ST,,URBAN,,0,,,,,,,,
1178203,INJURY,2003-10-04,1337,2,1,0,IN,ESTEVAN,,13TH AV,4TH ST,,URBAN,,0,,,,,,,,
1443316,INJURY,2003-10-04,1810,2,1,0,IN,SASKATOON,SKM11-8,ARLINGTON AVE,TAYLOR ST,,URBAN,,0,,,,,,,,
1461848,INJURY,2003-10-04,2050,2,1,0,IN,SASKATOON,SKG7-5,25TH ST,IDYLWYLD DR,,URBAN,,0,,,,,,,,
1334811,INJURY,2003-10-05,1245,2,1,0,IN,REGINA,RE697250,DEWDNEY AVE,ELPHINSTONE ST,,URBAN,,0,,,,,,,,
1432200,INJURY,2003-10-07,2017,2,1,0,IN,YORKTON,,MOUNTVIEW RD,,,URBAN,,0,,,,,,,,
1446311,INJURY,2003-10-08,1630,2,1,0,IN,SWIFT CURRENT,,10TH AV NE,CHAPLIN ST E,,URBAN,,0,,,,,,,,
1352285,INJURY,2003-10-08,830,2,1,0,NEAR,FORT QU'APPELLE,,,,,HIGHWAY,2100100,3.5,,,,,,,,
1293180,INJURY,2003-10-11,705,2,1,0,IN,PRINCE ALBERT,PA10EBN,10TH AVE E,BRANION DR,,URBAN,,0,,,,,,,,
1346831,INJURY,2003-10-12,1848,2,1,0,IN,REGINA,RE708860,ARCOLA AVE / SASKATCHEWAN DR,WINNIPEG ST,,URBAN,,0,,,,,,,,
1459544,INJURY,2003-10-13,1730,2,1,0,IN,SASKATOON,SKN9-19,8TH ST,3900  LUTHER - MCKERCHER,,URBAN,,0,,,,,,,,
1334813,INJURY,2003-10-14,1720,2,2,0,IN,REGINA,RE293725,PARLIAMENT AVE,2800-2850,,URBAN,,0,,,,,,,,
1463531,INJURY,2003-10-14,2105,2,1,0,IN,SASKATOON,SKL8-2,COLLEGE DR,PRESTON AVE,,URBAN,,0,,,,,,,,
1458608,INJURY,2003-10-16,1700,2,1,0,IN,SASKATOON,SKK2-11,CREE CR,PRIMROSE DR,,URBAN,,0,,,,,,,,
1462829,INJURY,2003-10-20,1535,2,1,0,IN,SASKATOON,SKL6-15,PRESTON AVE,RESEARCH RD,,URBAN,,0,,,,,,,,
1458912,INJURY,2003-10-21,1318,2,1,0,IN,SASKATOON,SKF7-6,22ND ST,AVE B,,URBAN,,0,,,,,,,,
1462830,INJURY,2003-10-21,825,2,1,0,IN,SASKATOON,SKM11-8,ARLINGTON AVE,TAYLOR ST,,URBAN,,0,,,,,,,,
1462927,INJURY,2003-10-21,810,2,1,0,IN,SASKATOON,SKL6-10,108TH ST,CIRCLE DR OVERPASS,,URBAN,,0,,,,,,,,
1458756,INJURY,2003-10-24,1318,2,1,0,IN,SASKATOON,SKL8-2,COLLEGE DR,PRESTON AVE,,URBAN,,0,,,,,,,,
1464665,INJURY,2003-11-14,1500,2,1,0,IN,SASKATOON,SKB7-32,CONFEDERATION DR,22ND - PLAZA 22,,URBAN,,0,,,,,,,,
1436414,INJURY,2003-11-27,1748,2,1,0,NEAR,BATTLEFORD,,,,,FIRST NATIONS,,0,,,,,,,,MOOSOMIN IR - RM 468 TSE 29 47 16 3
